tag,workload,container,precision,config_variant,mbs,gbs,s_iter,tflops_per_gpu,tokens_s_per_gpu,failure_code,is_fallback
vr-260800-llama3.1-8b-recompute-mbs4-gbs16,llama3.1-8b,26.08.00,nvfp4,v1,4,16,4.754,338.45,6893,,True
vr-260601-qwen3-30b-a3b-bf16-mbs1-gbs256,qwen3-30b-a3b,26.06.01,bf16,v1,1,256,,,,ptxas_no_target,False
vr-260601-qwen3-30b-a3b-bf16-mbs2-gbs256,qwen3-30b-a3b,26.06.01,bf16,v1,2,256,,,,ptxas_no_target,False
vr-260601-qwen3-30b-a3b-bf16-mbs4-gbs256,qwen3-30b-a3b,26.06.01,bf16,v1,4,256,,,,ptxas_no_target,False
vr-260601-qwen3-30b-a3b-fallback-mbs1-gbs256,qwen3-30b-a3b,26.06.01,bf16,v1,1,256,28.189,213.98,9300,,True
vr-260601-qwen3-30b-a3b-fallback-mbs2-gbs256,qwen3-30b-a3b,26.06.01,bf16,v1,2,256,,,,oom_moe,True
vr-260601-qwen3-30b-a3b-fallback-mbs4-gbs256,qwen3-30b-a3b,26.06.01,bf16,v1,4,256,,,,oom_moe,True
vr-260601-qwen3-30b-a3b-fp8cs-mbs1-gbs256,qwen3-30b-a3b,26.06.01,fp8_cs,v1,1,256,,,,ptxas_no_target,False
vr-260601-qwen3-30b-a3b-fp8cs-mbs2-gbs256,qwen3-30b-a3b,26.06.01,fp8_cs,v1,2,256,,,,ptxas_no_target,False
vr-260601-qwen3-30b-a3b-fp8cs-mbs4-gbs256,qwen3-30b-a3b,26.06.01,fp8_cs,v1,4,256,,,,ptxas_no_target,False
vr-260800-qwen3-30b-a3b-bf16-mbs1-gbs256,qwen3-30b-a3b,26.08.00,bf16,v1,1,256,,,,ptxas_no_target,False
vr-260800-qwen3-30b-a3b-bf16-mbs2-gbs256,qwen3-30b-a3b,26.08.00,bf16,v1,2,256,,,,ptxas_no_target,False
vr-260800-qwen3-30b-a3b-bf16-mbs4-gbs256,qwen3-30b-a3b,26.08.00,bf16,v1,4,256,,,,ptxas_no_target,False
vr-260800-qwen3-30b-a3b-fallback-mbs2-gbs256,qwen3-30b-a3b,26.08.00,bf16,v1,2,256,,,,oom_moe,True
vr-260800-qwen3-30b-a3b-fallback-mbs4-gbs256,qwen3-30b-a3b,26.08.00,bf16,v1,4,256,,,,oom_moe,True
vr-260800-qwen3-30b-a3b-fp8cs-mbs1-gbs256,qwen3-30b-a3b,26.08.00,fp8_cs,v1,1,256,,,,ptxas_no_target,False
vr-260800-qwen3-30b-a3b-fp8cs-mbs2-gbs256,qwen3-30b-a3b,26.08.00,fp8_cs,v1,2,256,,,,ptxas_no_target,False
vr-260800-qwen3-30b-a3b-fp8cs-mbs4-gbs256,qwen3-30b-a3b,26.08.00,fp8_cs,v1,4,256,,,,ptxas_no_target,False
